Part Number;Istanbul;ABD
140N2827-2;1,869;3,738
69-44402-2;1,367;2,734
140N2827-1;1,274;2,548
66-12687-1;983;1966
69-73539-1;739;1478
66-13873-6;653;653
275N2073-1;464;928
310A2028-6;441;441
161U0002-2;423;423
69-77855-2;376;752
312T3106-104;333;666
69-73730-4;313;626
162A1122-4;293;586
69-37867-42;290;290
66-22833-3;286;286
452T2007-1;279;558
414T2358-1;266;532
69-61223-2;257;257
272T6127-1;247;247
65-50516-7;246;-246
332W3120-1;245;490
66-12156-7;234;468
284T0278-2;233;466
287T6125-2;227;454
69-43962-7;219;438
273A3624-1;206;206
113N1007-14;198;-96
161N1254-1;198;396
66-12156-19;196;392
284T0278-5;194;194
161W6012-1;193;193
273T0050-5;191;191
162A1419-1;185;185
287T6116-11;184;0
315A1835-5;184;184
141A6242-1;183;183
315A1824-3;180;180
116A7702-3;179;-10
66-12156-34;178;178
69-64426-1;176;176
411N1175-1;173;25
251N2747-1;172;344
116A7702-2;170;88
161N1814-1;170;170
161N1829-1;170;170
66-12156-35;169;169
69-41621-2;168;336
161T6039-1;165;330
113A3327-7;158;-65
314A1010-3;152;304
315A2897-1;148;148
173A5300-1;146;292
311A1410-30;145;145
69-60789-2;143;143
69-41637-1;142;284
284T0278-3;141;141
162N5005-7;138;276
315A1507-506;134;268
69-16954-3;134;134
232N1638-2;131;262
113A2700-3;130;260
161T2029-2;129;129
315A1824-2;129;129
69-73012-1;122;122
69-72097-1;119;119
113A3327-8;118;236
311A1410-26;117;234
69-13364-1;113;226
69-73490-1;113;113
161T1044-1;112;112
66-12156-1;112;112
161W1034-1;110;220
69B80300-10;110;110
310A2039-1;107;214
162A1122-3;106;106
69-78241-1;106;106
287T6116-10;103;206
311A1410-28;101;202
293W2309-3;99;99
315A1874-1;98;98
315A1853-1;97;194
315A2247-10;97;97
315A2247-4;97;97
315A2247-5;97;194
315A2247-7;97;97
315A2247-9;97;97
69-73301-1;97;194
315A2247-3;96;192
63-1179-1;95;95
69-42523-5;95;190
69-35393-1;94;188
315A1828-2;93;186
66-23750-6;93;93
69-4354;93;186
69B80300-8;93;93
284T0588-5;90;90
65-54998-14;90;180
66-24105-3;90;180
69-38754-4;90;90
69-43962-5;89;89
162T5051-1;88;88
287W6119-4;88;176
113N1007-28;86;86
216A2011-1;86;86
412N1125-1;86;86
162T3015-1;85;85
311A1099-20;85;85
65-16300-282;85;170
66-12156-25;85;85
65-78628-1;84;84
69-63391-8;84;168
273N2073-1;82;164
65-35436-15;81;81
66-12156-13;81;81
113N1077-1;80;160
273T0050-3;80;80
69-50485-1;80;80
162T2017-2;79;158
69-72097-2;79;79
162T1610-1;78;156
69-63523-2;78;156
69B12330-3;76;152
162N1218-1;75;75
275A5325-3;74;148
69-42195-1;74;148
161N3018-1;73;146
161T1219-2;73;73
161W1202-2;73;73
161W0086-1;72;72
295W1407-1;72;144
113N1007-17;71;71
161N3021-2;71;142
69-58327-1;71;142
162T2015-11;69;138
273T0050-6;69;69
284N1641-7;69;69
162T2017-1;68;68
315A1828-4;68;68
69-73380-1;68;136
69-41636-1;67;134
161N1238-1;66;66
162T1517-3;66;66
284A3801-39;66;66
69-41379-7;66;132
69-63573-1;66;132
251N4105-1;65;130
310A2039-2;65;130
311A1410-27;65;130
315A1910-1;65;130
65-46150-74;64;128
310N3151-1;62;62
311A1710-10;62;124
315A1863-4;61;122
69-58823-4;61;122
162T2017-3;60;120
412N1125-2;59;59
162N3114-1;58;58
284A3801-38;58;58
113N1094-4;57;114
116A7701-1;56;112
69B80085-1;56;112
273T1146-1;55;55
66-9776-1;55;55
273T0050-4;54;108
293W2309-5;54;108
69-53203-2;54;108
69-63392-1;54;54
284T0519-3;53;106
180A1614-4;52;104
69-59227-3;52;52
161N1815-1;51;51
162T2015-5;50;50
162T2015-9;50;50
272T6144-1;50;50
311A1099-10;50;50
311A1747-7;50;100
69B70231-6;50;100
313A1200-109;49;49
162N5005-9;48;48
273T0050-2;48;96
66-13205-1;48;96
69-37182-8;48;48
113A2700-4;47;47
273N4076-1;47;94
315A1096-1;47;94
141A6808-1;46;46
273T6115-1;46;46
275N2098-1;46;92
65-46150-4;46;92
65-55878-4;46;46
69-41638-1;45;90
161W4120-1;44;88
333A1000-2;44;44
314A1135-1;43;86
332A1032-4;43;43
69-42190-2;43;43
113T1254-13;42;42
69-73039-1;42;84
69-76287-1;42;84
273T6114-2;41;82
315A2013-1;40;40
161W3125-2;39;39
273T6133-1;39;39
312A1324-1;39;78
69-54540-220;38;38
69B80300-7;38;38
273T6211-1;36;36
275N2010-1;36;36
69-54514-2;36;36
273T1122-2;35;70
69-73118-4;35;70
161A0102-1;34;34
162T1517-1;34;34
149N6016-36;33;33
422W1126-3;33;66
161W3125-1;32;32
162T1140-2;32;64
272W6162-4;32;32
162W1414-6;31;62
315A1867-3;31;62
162A1122-2;28;28
69-38919-18;28;28
161W0122-5;27;27
66-23586-2;27;54
69B80300-9;27;54
272W6162-3;26;52
311A1410-29;26;26
315W5529-4;26;26
275A5325-4;25;25
69-54514-1;25;25
161N3021-3;24;48
334A2010-1;24;24
69-35587-8;24;48
69B83939-1;24;24
113N1094-2;23;46
161A6107-3;23;46
161U0002-1;23;23
66-25608-3;23;23
69-35587-7;22;44
161T1230-5;21;21
293W2309-6;20;40
162A1525-1;19;19
273T6001-5;19;38
69-54508-1;19;38
161A2109-2;18;36
66-12688-2;18;36
161T6036-2;17;34
69-73190-1;17;17
251T2125-2;16;16
65-46150-59;16;16
315A1567-3;15;30
66-13873-9;14;14
66-23289-1;14;14
69-56340-501;14;14
162T1620-1;13;26
310A2043-1;13;26
69-40944-1;13;13
69-52250-1;13;26
69-61382-1;13;13
113N1094-1;11;22
161W1034-2;11;22
162T3010-1;11;11
273T1147-1;11;22
273N1023-1;10;20
66-22655-2;10;10
65-46150-83;9;18
418W1016-3;8;16
272W6162-1;6;6
69B80300-1;5;10
